2025-07-28 16:42:24 | Mineralys Therapeutics, Inc. | Officer | Shares: 12946 | Value: $181,803.62 | Outstanding: 65,175,287 | Percent: 0.019863% | Link: https://www.sec.gov/Archives/edgar/data/1933414/000196430625000292/0001964306-25-000292.txt
2025-07-28 16:42:25 | Mineralys Therapeutics, Inc. | Officer | Shares: 12946 | Value: $181,803.62 | Outstanding: 65,175,287 | Percent: 0.019863% | Link: https://www.sec.gov/Archives/edgar/data/1693134/000196430625000292/0001964306-25-000292.txt
2025-07-28 16:42:26 | MOHAWK INDUSTRIES INC | Affiliate | Shares: 16000 | Value: $1,933,046.71 | Outstanding: 62,520,000 | Percent: 0.025592% | Link: https://www.sec.gov/Archives/edgar/data/925177/000105407425000113/0001054074-25-000113.txt
2025-07-28 16:42:28 | MOHAWK INDUSTRIES INC | Affiliate | Shares: 16000 | Value: $1,933,046.71 | Outstanding: 62,520,000 | Percent: 0.025592% | Link: https://www.sec.gov/Archives/edgar/data/851968/000105407425000113/0001054074-25-000113.txt
2025-07-28 16:42:29 | NXP SEMICONDUCTORS N.V. | Officer | Shares: 6785 | Value: $1,542,505.97 | Outstanding: 252,114,595 | Percent: 0.002691% | Link: https://www.sec.gov/Archives/edgar/data/1888543/000195004725005232/0001950047-25-005232.txt
2025-07-28 16:42:30 | NXP SEMICONDUCTORS N.V. | Officer | Shares: 6785 | Value: $1,542,505.97 | Outstanding: 252,114,595 | Percent: 0.002691% | Link: https://www.sec.gov/Archives/edgar/data/1413447/000195004725005232/0001950047-25-005232.txt
2025-07-28 16:42:31 | HEALTHCARE SERVICES GROUP, INC. | Officer | Shares: 21368 | Value: $283,126.0 | Outstanding: 72,412,725 | Percent: 0.029509% | Link: https://www.sec.gov/Archives/edgar/data/1502211/000195004725005231/0001950047-25-005231.txt
2025-07-28 16:42:32 | HEALTHCARE SERVICES GROUP, INC. | Officer | Shares: 21368 | Value: $283,126.0 | Outstanding: 72,412,725 | Percent: 0.029509% | Link: https://www.sec.gov/Archives/edgar/data/731012/000195004725005231/0001950047-25-005231.txt
2025-07-28 16:42:33 | Super Micro Computer, Inc. | Officer | Shares: 200000 | Value: $12,000,200.0 | Outstanding: 596,817,646 | Percent: 0.033511% | Link: https://www.sec.gov/Archives/edgar/data/1392942/000200731725000761/0002007317-25-000761.txt
2025-07-28 16:42:34 | Super Micro Computer, Inc. | Officer | Shares: 200000 | Value: $12,000,200.0 | Outstanding: 596,817,646 | Percent: 0.033511% | Link: https://www.sec.gov/Archives/edgar/data/1375365/000200731725000761/0002007317-25-000761.txt
2025-07-28 16:50:49 | Mineralys Therapeutics, Inc. | Officer | Shares: 12946 | Value: $181,803.62 | Outstanding: 65,175,287 | Percent: 0.019863% | Link: https://www.sec.gov/Archives/edgar/data/1933414/000196430625000292/0001964306-25-000292.txt
2025-07-28 16:50:50 | Mineralys Therapeutics, Inc. | Officer | Shares: 12946 | Value: $181,803.62 | Outstanding: 65,175,287 | Percent: 0.019863% | Link: https://www.sec.gov/Archives/edgar/data/1693134/000196430625000292/0001964306-25-000292.txt
2025-07-28 16:50:51 | MOHAWK INDUSTRIES INC | Affiliate | Shares: 16000 | Value: $1,933,046.71 | Outstanding: 62,520,000 | Percent: 0.025592% | Link: https://www.sec.gov/Archives/edgar/data/925177/000105407425000113/0001054074-25-000113.txt
2025-07-28 16:50:52 | MOHAWK INDUSTRIES INC | Affiliate | Shares: 16000 | Value: $1,933,046.71 | Outstanding: 62,520,000 | Percent: 0.025592% | Link: https://www.sec.gov/Archives/edgar/data/851968/000105407425000113/0001054074-25-000113.txt
2025-07-28 16:50:54 | NXP SEMICONDUCTORS N.V. | Officer | Shares: 6785 | Value: $1,542,505.97 | Outstanding: 252,114,595 | Percent: 0.002691% | Link: https://www.sec.gov/Archives/edgar/data/1888543/000195004725005232/0001950047-25-005232.txt
2025-07-28 16:50:55 | NXP SEMICONDUCTORS N.V. | Officer | Shares: 6785 | Value: $1,542,505.97 | Outstanding: 252,114,595 | Percent: 0.002691% | Link: https://www.sec.gov/Archives/edgar/data/1413447/000195004725005232/0001950047-25-005232.txt
2025-07-28 16:50:56 | HEALTHCARE SERVICES GROUP, INC. | Officer | Shares: 21368 | Value: $283,126.0 | Outstanding: 72,412,725 | Percent: 0.029509% | Link: https://www.sec.gov/Archives/edgar/data/1502211/000195004725005231/0001950047-25-005231.txt
2025-07-28 16:50:57 | HEALTHCARE SERVICES GROUP, INC. | Officer | Shares: 21368 | Value: $283,126.0 | Outstanding: 72,412,725 | Percent: 0.029509% | Link: https://www.sec.gov/Archives/edgar/data/731012/000195004725005231/0001950047-25-005231.txt
2025-07-28 17:02:18 | HEALTHCARE SERVICES GROUP, INC. | Officer | Shares: 21368 | Value: $283,126.0 | Percent: 0.029509% | Link: https://www.sec.gov/Archives/edgar/data/731012/000195004725005231/0001950047-25-005231.txt
2025-09-17 15:24:06 | Sadowsky Kenneth | Director | Shares: 21700 | Value: $1,068,399.0 | Percent: 0.038189% | Link: https://www.sec.gov/Archives/edgar/data/1482981/000194984625000483/0001949846-25-000483.txt
2025-09-17 15:38:24 | WILLIAMS KEVIN BRYAN | Director | Shares: 6171885 | Value: $142,236.0 | Percent: 0.167837% | Link: https://www.sec.gov/Archives/edgar/data/1934737/000193473725000004/0001934737-25-000004.txt
2025-09-17 15:38:26 | WILLIAMS KEVIN BRYAN | Director | Shares: 6171885 | Value: $142,236.0 | Percent: 0.167837% | Link: https://www.sec.gov/Archives/edgar/data/1410738/000193473725000004/0001934737-25-000004.txt
2025-09-17 15:38:27 | BURKE JAMES A | Officer | Shares: 21361 | Value: $4,540,506.03 | Percent: 0.006305% | Link: https://www.sec.gov/Archives/edgar/data/1692819/000195917325006067/0001959173-25-006067.txt
2025-09-17 15:38:28 | BURKE JAMES A | Officer | Shares: 21361 | Value: $4,540,506.03 | Percent: 0.006305% | Link: https://www.sec.gov/Archives/edgar/data/1268406/000195917325006067/0001959173-25-006067.txt
2025-09-17 15:57:23 | Smith Joelle M | Officer | Shares: 9900 | Value: $155,467.66 | Percent: 0.005690% | Link: https://www.sec.gov/Archives/edgar/data/1927987/000195917325006069/0001959173-25-006069.txt
2025-09-17 15:57:24 | Smith Joelle M | Officer | Shares: 9900 | Value: $155,467.66 | Percent: 0.005690% | Link: https://www.sec.gov/Archives/edgar/data/1210677/000195917325006069/0001959173-25-006069.txt
2025-09-17 16:44:01 | Aryeh Jason | Director | Shares: 10000 | Value: $1,685,000.0 | Percent: 0.051029% | Link: https://www.sec.gov/Archives/edgar/data/1376960/000194984625000485/0001949846-25-000485.txt
2025-09-17 16:44:02 | Aryeh Jason | Director | Shares: 10000 | Value: $1,685,000.0 | Percent: 0.051029% | Link: https://www.sec.gov/Archives/edgar/data/886163/000194984625000485/0001949846-25-000485.txt
2025-09-17 16:54:01 | Dudum Andrew | Officer | Shares: 65110 | Value: $3,292,903.57 | Percent: 0.029916% | Link: https://www.sec.gov/Archives/edgar/data/1837796/000195917325006070/0001959173-25-006070.txt
2025-09-17 16:54:02 | Dudum Andrew | Officer | Shares: 65110 | Value: $3,292,903.57 | Percent: 0.029916% | Link: https://www.sec.gov/Archives/edgar/data/1773751/000195917325006070/0001959173-25-006070.txt
2025-09-17 17:29:40 | Lauro Emanuele | Officer | Shares: 151304 | Value: $9,297,630.8 | Percent: 0.296580% | Link: https://www.sec.gov/Archives/edgar/data/1978586/000197858625000002/0001978586-25-000002.txt
2025-09-17 17:29:41 | Lauro Emanuele | Officer | Shares: 151304 | Value: $9,297,630.8 | Percent: 0.296580% | Link: https://www.sec.gov/Archives/edgar/data/1483934/000197858625000002/0001978586-25-000002.txt
2025-09-17 17:40:56 | WIRTH JAMES F | Officer | Shares: 115861 | Value: $238,673.66 | Percent: 1.317905% | Link: https://www.sec.gov/Archives/edgar/data/1055365/000194984625000486/0001949846-25-000486.txt
2025-09-17 17:40:57 | WIRTH JAMES F | Officer | Shares: 115861 | Value: $238,673.66 | Percent: 1.317905% | Link: https://www.sec.gov/Archives/edgar/data/82473/000194984625000486/0001949846-25-000486.txt
2025-09-17 17:50:02 | Bealmear Richard Craig | Officer | Shares: 46203 | Value: $4,296,974.76 | Percent: 0.031301% | Link: https://www.sec.gov/Archives/edgar/data/1855623/000195917325006072/0001959173-25-006072.txt
2025-09-17 17:50:03 | Bealmear Richard Craig | Officer | Shares: 46203 | Value: $4,296,974.76 | Percent: 0.031301% | Link: https://www.sec.gov/Archives/edgar/data/1849056/000195917325006072/0001959173-25-006072.txt
2025-09-17 18:34:24 | BERMAN LYLE | 10% Stockholder | Shares: 99402 | Value: $738,492.4 | Percent: 0.121003% | Link: https://www.sec.gov/Archives/edgar/data/1425355/000090329125000004/0000903291-25-000004.txt
2025-09-17 18:34:24 | BERMAN LYLE | 10% Stockholder | Shares: 99402 | Value: $738,492.4 | Percent: 0.121003% | Link: https://www.sec.gov/Archives/edgar/data/903291/000090329125000004/0000903291-25-000004.txt
2025-09-17 18:34:27 | Kutasi Leslie T | Director | Shares: 20000 | Value: $41,400.0 | Percent: 0.227498% | Link: https://www.sec.gov/Archives/edgar/data/1568182/000194984625000488/0001949846-25-000488.txt
2025-09-17 18:34:28 | Kutasi Leslie T | Director | Shares: 20000 | Value: $41,400.0 | Percent: 0.227498% | Link: https://www.sec.gov/Archives/edgar/data/82473/000194984625000488/0001949846-25-000488.txt
2025-09-17 18:34:30 | GOODSON JOHN PAGE | Officer | Shares: 150000 | Value: $1,438,671.36 | Percent: 0.023079% | Link: https://www.sec.gov/Archives/edgar/data/1818201/000195917325006073/0001959173-25-006073.txt
2025-09-17 18:34:31 | GOODSON JOHN PAGE | Officer | Shares: 150000 | Value: $1,438,671.36 | Percent: 0.023079% | Link: https://www.sec.gov/Archives/edgar/data/1421872/000195917325006073/0001959173-25-006073.txt
2025-09-17 18:34:33 | JANE PRIOR | Officer | Shares: 10000 | Value: $399,800.0 | Percent: 0.017599% | Link: https://www.sec.gov/Archives/edgar/data/1886154/000195004725007240/0001950047-25-007240.txt
2025-09-17 18:34:34 | JANE PRIOR | Officer | Shares: 10000 | Value: $399,800.0 | Percent: 0.017599% | Link: https://www.sec.gov/Archives/edgar/data/1482981/000195004725007240/0001950047-25-007240.txt
2025-09-17 18:50:22 | Johnson Gary William | Officer | Shares: 35000 | Value: $206,850.0 | Percent: 0.098702% | Link: https://www.sec.gov/Archives/edgar/data/2085791/000194984625000489/0001949846-25-000489.txt
2025-09-17 18:50:23 | Johnson Gary William | Officer | Shares: 35000 | Value: $206,850.0 | Percent: 0.098702% | Link: https://www.sec.gov/Archives/edgar/data/1477081/000194984625000489/0001949846-25-000489.txt
2025-09-17 19:19:26 | Jaymin Amin | Officer | Shares: 17721 | Value: $1,367,672.3 | Percent: 0.002069% | Link: https://www.sec.gov/Archives/edgar/data/1930559/000196922325000779/0001969223-25-000779.txt
2025-09-17 19:19:27 | Jaymin Amin | Officer | Shares: 17721 | Value: $1,367,672.3 | Percent: 0.002069% | Link: https://www.sec.gov/Archives/edgar/data/24741/000196922325000779/0001969223-25-000779.txt
2025-09-17 19:19:29 | Bealmear Richard Craig | Officer | Shares: 46175 | Value: $4,361,228.75 | Percent: 0.031282% | Link: https://www.sec.gov/Archives/edgar/data/1855623/000195917325006075/0001959173-25-006075.txt
2025-09-17 19:19:30 | Bealmear Richard Craig | Officer | Shares: 46175 | Value: $4,361,228.75 | Percent: 0.031282% | Link: https://www.sec.gov/Archives/edgar/data/1849056/000195917325006075/0001959173-25-006075.txt
2025-09-17 19:28:33 | Looker Benjamin | Officer | Shares: 6267 | Value: $17,575.8 | Percent: 0.003108% | Link: https://www.sec.gov/Archives/edgar/data/1859509/000195917325006078/0001959173-25-006078.txt
2025-09-17 19:28:34 | Looker Benjamin | Officer | Shares: 6267 | Value: $17,575.8 | Percent: 0.003108% | Link: https://www.sec.gov/Archives/edgar/data/1434868/000195917325006078/0001959173-25-006078.txt
2025-09-17 19:39:35 | Koenig Sheldon L. | Officer | Shares: 28427 | Value: $79,240.27 | Percent: 0.014099% | Link: https://www.sec.gov/Archives/edgar/data/1766524/000195917325006080/0001959173-25-006080.txt
2025-09-17 19:39:36 | Koenig Sheldon L. | Officer | Shares: 28427 | Value: $79,240.27 | Percent: 0.014099% | Link: https://www.sec.gov/Archives/edgar/data/1434868/000195917325006080/0001959173-25-006080.txt
2025-09-17 19:39:37 | Halladay Benjamin | Officer | Shares: 7046 | Value: $19,788.69 | Percent: 0.003495% | Link: https://www.sec.gov/Archives/edgar/data/1953943/000195917325006079/0001959173-25-006079.txt
2025-09-17 19:39:37 | Halladay Benjamin | Officer | Shares: 7046 | Value: $19,788.69 | Percent: 0.003495% | Link: https://www.sec.gov/Archives/edgar/data/1434868/000195917325006079/0001959173-25-006079.txt
2025-09-17 19:49:15 | Matrix Trust Co | Trustee for the Arthur J Gallagher Rabbi Trust | Shares: 15000 | Value: $4,371,900.0 | Percent: 0.005850% | Link: https://www.sec.gov/Archives/edgar/data/1784277/000178427725000008/0001784277-25-000008.txt
2025-09-17 19:49:15 | Matrix Trust Co | Trustee for the Arthur J Gallagher Rabbi Trust | Shares: 15000 | Value: $4,371,900.0 | Percent: 0.005850% | Link: https://www.sec.gov/Archives/edgar/data/354190/000178427725000008/0001784277-25-000008.txt
2025-09-17 19:49:17 | Sabino Anthony John | Officer | Shares: 96062 | Value: $65,946.56 | Percent: 0.099417% | Link: https://www.sec.gov/Archives/edgar/data/2008679/000195917325006081/0001959173-25-006081.txt
2025-09-17 19:49:18 | Sabino Anthony John | Officer | Shares: 96062 | Value: $65,946.56 | Percent: 0.099417% | Link: https://www.sec.gov/Archives/edgar/data/1102993/000195917325006081/0001959173-25-006081.txt
2025-09-17 19:58:40 | Domino Michael Wayne Jr. | Officer | Shares: 52075 | Value: $170,806.0 | Percent: 0.146032% | Link: https://www.sec.gov/Archives/edgar/data/1981953/000197407825000313/0001974078-25-000313.txt
2025-09-17 19:58:40 | Domino Michael Wayne Jr. | Officer | Shares: 52075 | Value: $170,806.0 | Percent: 0.146032% | Link: https://www.sec.gov/Archives/edgar/data/1884516/000197407825000313/0001974078-25-000313.txt
2025-09-17 20:24:58 | BRUCE N. JACOBS | Officer | Shares: 79220 | Value: $3,864,351.6 | Percent: 0.110801% | Link: https://www.sec.gov/Archives/edgar/data/1821074/000195004725007269/0001950047-25-007269.txt
2025-09-17 20:25:00 | BRUCE N. JACOBS | Officer | Shares: 79220 | Value: $3,864,351.6 | Percent: 0.110801% | Link: https://www.sec.gov/Archives/edgar/data/1815442/000195004725007269/0001950047-25-007269.txt
2025-09-17 20:25:02 | SCOTT KENNETH MILSTEN | Officer | Shares: 15000 | Value: $2,149,200.0 | Percent: 0.026439% | Link: https://www.sec.gov/Archives/edgar/data/1600033/000195004725007268/0001950047-25-007268.txt
2025-09-17 20:25:03 | SCOTT KENNETH MILSTEN | Officer | Shares: 15000 | Value: $2,149,200.0 | Percent: 0.026439% | Link: https://www.sec.gov/Archives/edgar/data/1448992/000195004725007268/0001950047-25-007268.txt
2025-09-17 20:39:04 | Wayne DeVeydt | former director | Shares: 85785 | Value: $1,873,875.0 | Percent: 0.066910% | Link: https://www.sec.gov/Archives/edgar/data/1638833/000196922325000780/0001969223-25-000780.txt
2025-09-17 20:39:05 | Wayne DeVeydt | former director | Shares: 85785 | Value: $1,873,875.0 | Percent: 0.066910% | Link: https://www.sec.gov/Archives/edgar/data/1321392/000196922325000780/0001969223-25-000780.txt
2025-09-17 20:39:07 | JONATHAN BURTH | Officer | Shares: 20000 | Value: $799,600.0 | Percent: 0.035197% | Link: https://www.sec.gov/Archives/edgar/data/1886142/000195004725007289/0001950047-25-007289.txt
2025-09-17 20:39:09 | JONATHAN BURTH | Officer | Shares: 20000 | Value: $799,600.0 | Percent: 0.035197% | Link: https://www.sec.gov/Archives/edgar/data/1482981/000195004725007289/0001950047-25-007289.txt
2025-09-17 20:39:11 | HAYDEN L BROWN | Director | Shares: 20000 | Value: $342,000.0 | Percent: 0.015082% | Link: https://www.sec.gov/Archives/edgar/data/1753662/000195004725007288/0001950047-25-007288.txt
2025-09-17 20:39:14 | HAYDEN L BROWN | Director | Shares: 20000 | Value: $342,000.0 | Percent: 0.015082% | Link: https://www.sec.gov/Archives/edgar/data/1627475/000195004725007288/0001950047-25-007288.txt
2025-09-17 20:39:15 | CHARLES VAN ES | Officer | Shares: 20000 | Value: $799,600.0 | Percent: 0.035197% | Link: https://www.sec.gov/Archives/edgar/data/1886344/000195004725007287/0001950047-25-007287.txt
2025-09-17 20:39:18 | CHARLES VAN ES | Officer | Shares: 20000 | Value: $799,600.0 | Percent: 0.035197% | Link: https://www.sec.gov/Archives/edgar/data/1482981/000195004725007287/0001950047-25-007287.txt
2025-09-17 20:47:57 | MIRELF VII US SECURITIES LLC | Former Affiliate | Shares: 20097 | Value: $311,909.46 | Percent: 0.021512% | Link: https://www.sec.gov/Archives/edgar/data/1640680/000195004725007291/0001950047-25-007291.txt
2025-09-17 20:47:58 | MIRELF VII US SECURITIES LLC | Former Affiliate | Shares: 20097 | Value: $311,909.46 | Percent: 0.021512% | Link: https://www.sec.gov/Archives/edgar/data/924901/000195004725007291/0001950047-25-007291.txt
2025-09-17 20:47:59 | MIRELF VI REIT INVESTMENT II, LLC | Former Affiliate | Shares: 14989 | Value: $232,632.28 | Percent: 0.016044% | Link: https://www.sec.gov/Archives/edgar/data/1640680/000195004725007290/0001950047-25-007290.txt
2025-09-17 20:48:00 | MIRELF VI REIT INVESTMENT II, LLC | Former Affiliate | Shares: 14989 | Value: $232,632.28 | Percent: 0.016044% | Link: https://www.sec.gov/Archives/edgar/data/924901/000195004725007290/0001950047-25-007290.txt
2025-09-17 21:17:41 | Spears Kirsten M. | Officer | Shares: 7498 | Value: $2,606,783.0 | Percent: 0.000159% | Link: https://www.sec.gov/Archives/edgar/data/1730168/000192109425001175/0001921094-25-001175.txt
2025-09-17 21:17:42 | Spears Kirsten M. | Officer | Shares: 7498 | Value: $2,606,783.0 | Percent: 0.000159% | Link: https://www.sec.gov/Archives/edgar/data/1670725/000192109425001175/0001921094-25-001175.txt
2025-09-17 21:17:44 | OCAMPO SUSAN | 10% Stockholder | Shares: 62435 | Value: $8,233,303.0 | Percent: 0.083838% | Link: https://www.sec.gov/Archives/edgar/data/1493594/000194984625000491/0001949846-25-000491.txt
2025-09-17 21:17:46 | OCAMPO SUSAN | 10% Stockholder | Shares: 62435 | Value: $8,233,303.0 | Percent: 0.083838% | Link: https://www.sec.gov/Archives/edgar/data/1252243/000194984625000491/0001949846-25-000491.txt
2025-09-17 21:17:47 | Brazeal Mark David | Officer | Shares: 16558 | Value: $5,755,740.0 | Percent: 0.000351% | Link: https://www.sec.gov/Archives/edgar/data/1730168/000192109425001173/0001921094-25-001173.txt
2025-09-17 21:17:48 | Brazeal Mark David | Officer | Shares: 16558 | Value: $5,755,740.0 | Percent: 0.000351% | Link: https://www.sec.gov/Archives/edgar/data/1627720/000192109425001173/0001921094-25-001173.txt
2025-09-17 21:17:50 | Liebowitz Matthew | Officer | Shares: 50000 | Value: $1,327,733.0 | Percent: 0.020694% | Link: https://www.sec.gov/Archives/edgar/data/2009347/000192109425001172/0001921094-25-001172.txt
2025-09-17 21:17:50 | Liebowitz Matthew | Officer | Shares: 50000 | Value: $1,327,733.0 | Percent: 0.020694% | Link: https://www.sec.gov/Archives/edgar/data/1590714/000192109425001172/0001921094-25-001172.txt
2025-09-17 21:27:55 | Silbermann Benjamin | Director | Shares: 102083 | Value: $3,742,806.0 | Percent: 0.017035% | Link: https://www.sec.gov/Archives/edgar/data/1773914/000192109425001176/0001921094-25-001176.txt
2025-09-17 21:27:56 | Silbermann Benjamin | Director | Shares: 102083 | Value: $3,742,806.0 | Percent: 0.017035% | Link: https://www.sec.gov/Archives/edgar/data/1506293/000192109425001176/0001921094-25-001176.txt
2025-09-17 21:27:57 | Krupka Devin M | Officer | Shares: 7166 | Value: $129,009.5 | Percent: 0.025427% | Link: https://www.sec.gov/Archives/edgar/data/1967808/000196780825000005/0001967808-25-000005.txt
2025-09-17 21:27:58 | Krupka Devin M | Officer | Shares: 7166 | Value: $129,009.5 | Percent: 0.025427% | Link: https://www.sec.gov/Archives/edgar/data/1514416/000196780825000005/0001967808-25-000005.txt
2025-09-17 21:38:37 | Roger E. Susi | Officer | Shares: 100000 | Value: $7,076,000.0 | Percent: 0.786163% | Link: https://www.sec.gov/Archives/edgar/data/1613801/000161380125000007/0001613801-25-000007.txt
2025-09-17 21:38:38 | Roger E. Susi | Officer | Shares: 100000 | Value: $7,076,000.0 | Percent: 0.786163% | Link: https://www.sec.gov/Archives/edgar/data/1325618/000161380125000007/0001613801-25-000007.txt
2025-09-17 21:57:12 | TRAWICK THOMAS STEEN JR (HFBL) | Director | Shares: 8200 | Value: $110,700.0 | Percent: 0.265823% | Link: https://www.sec.gov/Archives/edgar/data/1539738/000143774925029328/0001437749-25-029328.txt
2025-09-17 21:57:13 | TRAWICK THOMAS STEEN JR (HFBL) | Director | Shares: 8200 | Value: $110,700.0 | Percent: 0.265823% | Link: https://www.sec.gov/Archives/edgar/data/1500375/000143774925029328/0001437749-25-029328.txt
2025-09-17 22:30:29 | Ronald Tutor | Affiliate | Shares: 200000 | Value: $12,776,000.0 | Percent: 0.379195% | Link: https://www.sec.gov/Archives/edgar/data/906134/000196858225000925/0001968582-25-000925.txt
2025-09-17 22:30:30 | Ronald Tutor | Affiliate | Shares: 200000 | Value: $12,776,000.0 | Percent: 0.379195% | Link: https://www.sec.gov/Archives/edgar/data/77543/000196858225000925/0001968582-25-000925.txt
2025-09-17 22:30:32 | Verlinvest Beverages SA | Affiliate | Shares: 3000000 | Value: $126,900,000.0 | Percent: 5.279554% | Link: https://www.sec.gov/Archives/edgar/data/1889193/000119312525206467/0001193125-25-206467.txt
2025-09-17 22:30:33 | Verlinvest Beverages SA | Affiliate | Shares: 3000000 | Value: $126,900,000.0 | Percent: 5.279554% | Link: https://www.sec.gov/Archives/edgar/data/1482981/000119312525206467/0001193125-25-206467.txt
2025-09-17 22:40:54 | Michael Baur | Officer | Shares: 150000 | Value: $6,743,966.4 | Percent: 0.685416% | Link: https://www.sec.gov/Archives/edgar/data/1251456/000125145625000004/0001251456-25-000004.txt
2025-09-17 22:40:55 | Michael Baur | Officer | Shares: 150000 | Value: $6,743,966.4 | Percent: 0.685416% | Link: https://www.sec.gov/Archives/edgar/data/918965/000125145625000004/0001251456-25-000004.txt
2025-09-18 01:54:44 | Kenneth Duda | Officer | Shares: 30000 | Value: $4,264,800.0 | Percent: 0.002387% | Link: https://www.sec.gov/Archives/edgar/data/1605808/000196858225000929/0001968582-25-000929.txt
2025-09-18 01:54:45 | Kenneth Duda | Officer | Shares: 30000 | Value: $4,264,800.0 | Percent: 0.002387% | Link: https://www.sec.gov/Archives/edgar/data/1596532/000196858225000929/0001968582-25-000929.txt
2025-09-18 01:54:46 | Kenneth Duda | Officer | Shares: 24000 | Value: $3,411,840.0 | Percent: 0.001910% | Link: https://www.sec.gov/Archives/edgar/data/1605808/000196858225000928/0001968582-25-000928.txt
2025-09-18 01:54:46 | Kenneth Duda | Officer | Shares: 24000 | Value: $3,411,840.0 | Percent: 0.001910% | Link: https://www.sec.gov/Archives/edgar/data/1596532/000196858225000928/0001968582-25-000928.txt
2025-09-18 01:54:47 | Kenneth Duda | Officer | Shares: 24000 | Value: $3,411,840.0 | Percent: 0.001910% | Link: https://www.sec.gov/Archives/edgar/data/1605808/000196858225000927/0001968582-25-000927.txt
2025-09-18 01:54:48 | Kenneth Duda | Officer | Shares: 24000 | Value: $3,411,840.0 | Percent: 0.001910% | Link: https://www.sec.gov/Archives/edgar/data/1596532/000196858225000927/0001968582-25-000927.txt
2025-09-18 10:46:57 | Ben-Yair Ehud | Officer | Shares: 7650 | Value: $296,820.0 | Percent: 0.069925% | Link: https://www.sec.gov/Archives/edgar/data/2036292/000197640825000316/0001976408-25-000316.txt
2025-09-18 10:46:58 | Ben-Yair Ehud | Officer | Shares: 7650 | Value: $296,820.0 | Percent: 0.069925% | Link: https://www.sec.gov/Archives/edgar/data/808439/000197640825000316/0001976408-25-000316.txt
2025-09-18 10:56:26 | Fortune Rising Holdings Ltd | Affiliate | Shares: 115000 | Value: $4,052,600.0 | Percent: 0.004046% | Link: https://www.sec.gov/Archives/edgar/data/1971883/000173839625000028/0001738396-25-000028.txt
2025-09-18 10:56:27 | Fortune Rising Holdings Ltd | Affiliate | Shares: 115000 | Value: $4,052,600.0 | Percent: 0.004046% | Link: https://www.sec.gov/Archives/edgar/data/1549802/000173839625000028/0001738396-25-000028.txt
2025-09-18 10:56:29 | Topaz Liron | Officer | Shares: 7706 | Value: $298,992.8 | Percent: 0.070436% | Link: https://www.sec.gov/Archives/edgar/data/2035841/000197640825000317/0001976408-25-000317.txt
2025-09-18 10:56:30 | Topaz Liron | Officer | Shares: 7706 | Value: $298,992.8 | Percent: 0.070436% | Link: https://www.sec.gov/Archives/edgar/data/808439/000197640825000317/0001976408-25-000317.txt
2025-09-18 12:40:17 | Ben Volkow | Director | Shares: 6771 | Value: $25,391.25 | Percent: 0.485193% | Link: https://www.sec.gov/Archives/edgar/data/1913605/000197640825000318/0001976408-25-000318.txt
2025-09-18 12:40:18 | Ben Volkow | Director | Shares: 6771 | Value: $25,391.25 | Percent: 0.485193% | Link: https://www.sec.gov/Archives/edgar/data/1603652/000197640825000318/0001976408-25-000318.txt
2025-09-18 13:38:43 | Rishel Jeremy | Officer | Shares: 98733 | Value: $2,715,157.5 | Percent: 0.008245% | Link: https://www.sec.gov/Archives/edgar/data/1934200/000195917325006086/0001959173-25-006086.txt
2025-09-18 13:38:44 | Rishel Jeremy | Officer | Shares: 98733 | Value: $2,715,157.5 | Percent: 0.008245% | Link: https://www.sec.gov/Archives/edgar/data/1818874/000195917325006086/0001959173-25-006086.txt
2025-09-18 14:57:28 | BURKE JAMES A | Officer | Shares: 21366 | Value: $4,554,708.29 | Percent: 0.006306% | Link: https://www.sec.gov/Archives/edgar/data/1692819/000195917325006095/0001959173-25-006095.txt
2025-09-18 14:57:29 | BURKE JAMES A | Officer | Shares: 21366 | Value: $4,554,708.29 | Percent: 0.006306% | Link: https://www.sec.gov/Archives/edgar/data/1268406/000195917325006095/0001959173-25-006095.txt
2025-09-18 14:57:33 | Bealmear Richard Craig | Officer | Shares: 7622 | Value: $773,182.54 | Percent: 0.005164% | Link: https://www.sec.gov/Archives/edgar/data/1855623/000195917325006094/0001959173-25-006094.txt
2025-09-18 14:57:34 | Bealmear Richard Craig | Officer | Shares: 7622 | Value: $773,182.54 | Percent: 0.005164% | Link: https://www.sec.gov/Archives/edgar/data/1849056/000195917325006094/0001959173-25-006094.txt
2025-09-18 14:57:36 | GREENBERG ANDREA | Former Officer | Shares: 8500 | Value: $531,250.0 | Percent: 0.029177% | Link: https://www.sec.gov/Archives/edgar/data/1795250/000195917325006093/0001959173-25-006093.txt
2025-09-18 14:57:37 | GREENBERG ANDREA | Former Officer | Shares: 8500 | Value: $531,250.0 | Percent: 0.029177% | Link: https://www.sec.gov/Archives/edgar/data/1653193/000195917325006093/0001959173-25-006093.txt
2025-09-18 14:57:39 | Dageville Benoit | Officer | Shares: 25000 | Value: $5,484,000.0 | Percent: 0.007379% | Link: https://www.sec.gov/Archives/edgar/data/1821737/000195917325006092/0001959173-25-006092.txt
2025-09-18 14:57:40 | Dageville Benoit | Officer | Shares: 25000 | Value: $5,484,000.0 | Percent: 0.007379% | Link: https://www.sec.gov/Archives/edgar/data/1640147/000195917325006092/0001959173-25-006092.txt
